# profile list

 Profile          Model                        Gateway      Alias        Distribution
 ───────────────    ───────────────────────────    ───────────    ───────────    ────────────────────
 ◆default         gpt-5.5                      running      —            —
  blaze           gpt-5.5                      running      blaze        —
  bolt            gpt-5.5                      running      bolt         —
  jekjack         gpt-5.5                      running      jekjack      —
  kaijeaw         gpt-5.5                      running      kaijeaw      —
  muse            —                            running      —            —
  oracle          gpt-5.5                      running      oracle       —
  pixel           gpt-5.5                      running      pixel        —
  protocol        gpt-5.5                      running      protocol     —
  qwen            qwen3.6:35b                  running      qwen         —
  signal          gpt-5.5                      running      signal       —
  tiff            gpt-5.5                      running      tiff         —
  unclechris      gpt-5.5                      running      unclechris   —
  zegna           gpt-5.5                      running      zegna        —



# collected at 2026-05-27 07:48
